id,cltv
89393,91597.38619294172
89394,130031.9202795612
89395,96308.69225499697
89396,86509.62932449882
89397,125662.14502133225
89398,109822.38165218267
89399,50387.68899105382
89400,108457.4209040289
89401,49111.79471869954
89402,151843.1730909496
89403,154192.38406287236
89404,90850.62866206843
89405,50141.999091066275
89406,52575.84400135447
89407,50296.14679411307
89408,130860.4670011986
89409,123910.94139302886
89410,128651.55126503245
89411,129276.81872650192
89412,135360.146612659
89413,142137.33078396387
89414,49740.250578659296
89415,46802.937295060576
89416,108899.16702194826
89417,137035.70860743817
89418,98296.87829328465
89419,49996.9625895225
89420,130376.84604676066
89421,137328.17947103357
89422,114738.17306167979
89423,148124.43361399317
89424,47687.743711175535
89425,109034.60715208294
89426,128694.37161048867
89427,101645.46976971968
89428,115685.31652832148
89429,96888.53716243898
89430,54051.83640995679
89431,129220.09218660601
89432,123069.3675817927
89433,50160.454745139396
89434,54339.40337640422
89435,45637.716045103734
89436,110369.29629886767
89437,52085.68224849687
89438,139534.02644144054
89439,52550.40043414458
89440,135787.54676364086
89441,137240.12023070303
89442,69672.834083248
89443,114114.96916149673
89444,92455.16349321716
89445,111514.65586180691
89446,95515.93369798774
89447,126284.13541495724
89448,136019.71993446382
89449,134305.67629929355
89450,133005.56904289624
89451,122163.54029845157
89452,128250.99920505968
89453,124853.12834713432
89454,133717.89674889663
89455,114969.88265454363
89456,131948.01475682895
89457,110474.97213264908
89458,133333.0894436235
89459,123015.96827108643
89460,129220.09218660601
89461,112447.67916163229
89462,96180.38965902364
89463,109721.12279731015
89464,174110.23747251538
89465,136035.44164186541
89466,51588.2336999522
89467,126039.44597677697
89468,51171.049898147765
89469,100223.30671716783
89470,48015.20140739723
89471,148980.73038494427
89472,123107.50481162472
89473,131487.57014553514
89474,131338.03592111063
89475,113857.43784297894
89476,145469.4435318625
89477,56119.951194362045
89478,136329.79100286207
89479,133494.72115199428
89480,102748.69308620307
89481,49815.562680077564
89482,49337.8585008061
89483,107458.95142301006
89484,50959.76353197137
89485,128631.5956602636
89486,131594.7556296562
89487,118476.70711903075
89488,87974.72251719936
89489,52974.16982893918
89490,90363.3934323672
89491,115202.05342951926
89492,100965.23022354496
89493,50028.85208432522
89494,49257.91903850602
89495,106651.72418812056
89496,105213.31943663838
89497,137148.91299792944
89498,109036.26653964486
89499,51390.09924139362
89500,117770.09089785648
89501,65357.15922137009
89502,43724.55094669278
89503,153879.6728037575
89504,154959.1820084067
89505,86313.55481607575
89506,49435.69084661879
89507,115206.78666845804
89508,94685.87469842982
89509,145978.96936929727
89510,50778.0304740978
89511,127946.92449944948
89512,136718.0343575949
89513,105600.70409813788
89514,134621.98990071376
89515,110615.14642688178
89516,48849.59254517512
89517,89083.534673634
89518,52720.57465281412
89519,138298.7462759935
89520,52185.82625261966
89521,111387.77340861103
89522,49900.07959493768
89523,54766.34041551537
89524,51576.76565435048
89525,98895.9018958156
89526,52571.81355236536
89527,51726.56733988208
89528,96945.53662219415
89529,112729.80786851812
89530,136352.68439591938
89531,137680.0127824792
89532,48789.34357647545
89533,62425.14013816765
89534,99131.95228220415
89535,112389.47560681289
89536,114381.04835837784
89537,123811.68216359853
89538,137484.1873643068
89539,104414.7345919833
89540,56078.645077268455
89541,116099.99030344782
89542,91897.65798043364
89543,55409.37678520449
89544,111681.46039255506
89545,54245.51353268024
89546,162848.9757022983
89547,98251.4308146482
89548,124452.12760094415
89549,98485.74617014726
89550,54512.72902955132
89551,109129.37816625614
89552,89180.30290816343
89553,123886.5354097897
89554,59198.77955966893
89555,52565.8662453459
89556,97688.91395631543
89557,113667.42263287483
89558,145065.1036041872
89559,112701.7357809359
89560,51121.52187359719
89561,124339.0752611256
89562,135853.16559112206
89563,100719.65989276345
89564,139921.17244845646
89565,94553.93502933599
89566,125214.77747099921
89567,96299.99884142766
89568,132204.74186832088
89569,92830.09409813605
89570,131143.91214630075
89571,114849.62714838074
89572,55188.39106243593
89573,52556.843794756496
89574,47467.90938208266
89575,160129.60694724665
89576,122042.17561295975
89577,47136.97585292604
89578,83985.70552770905
89579,135848.1561827759
89580,131093.06670764452
89581,124944.74184236933
89582,49622.60315674987
89583,108718.99892307426
89584,101847.5787817766
89585,47371.723397868824
89586,48434.27525829175
89587,45215.566530083095
89588,45797.29632754047
89589,51040.00379382537
89590,122430.94777740653
89591,159729.33092685865
89592,109004.16707000775
89593,137126.93578130283
89594,97807.27411208344
89595,118935.97381098308
89596,93846.68239311421
89597,48466.45705582445
89598,108195.5052980665
89599,113879.06545708564
89600,108785.06771971569
89601,127781.43649265173
89602,141073.27001530497
89603,106767.21493137063
89604,147351.8001144126
89605,112384.03755325073
89606,128416.87291417891
89607,110770.48459327617
89608,131675.29916950967
89609,113704.22722534418
89610,98513.28071471889
89611,98704.86926191114
89612,160129.8760101538
89613,112701.7357809359
89614,51935.64856746543
89615,105007.43846782838
89616,143058.9999626189
89617,48602.49460097521
89618,88970.59922460784
89619,51510.43397081632
89620,91834.22610003063
89621,145909.19320418427
89622,112625.10080916574
89623,122838.30697547921
89624,134300.53200450802
89625,51831.533853655405
89626,111626.42527239062
89627,51264.83211854249
89628,52769.45530302878
89629,142696.06652864104
89630,112353.46026054997
89631,124757.93295291282
89632,49116.075317961324
89633,105601.3334512058
89634,123236.85906298121
89635,127069.21836673531
89636,130493.47284890791
89637,46165.47790137691
89638,94694.68052810106
89639,113719.53002043343
89640,120264.82479506145
89641,53347.06589600724
89642,50194.66501016649
89643,89091.42095146269
89644,125930.42313025538
89645,124757.93295291282
89646,139980.91421305842
89647,46565.23150272499
89648,47433.26668134997
89649,109428.19851982535
89650,111777.28950025226
89651,84375.27890959285
89652,100733.01100117444
89653,110404.33053581115
89654,111511.19816582576
89655,135524.08078984788
89656,107034.49758965723
89657,47194.35953949286
89658,139785.09287928708
89659,133947.1758657531
89660,120137.555047366
89661,100186.33568340608
89662,131400.74162492467
89663,53810.19351164165
89664,50848.37300418405
89665,91855.42453899479
89666,48021.08010047678
89667,49592.084024342934
89668,143246.7738098348
89669,108345.73123912387
89670,146570.69986568406
89671,113502.32041579894
89672,120669.34203336986
89673,53019.46149561619
89674,140080.70788510868
89675,109549.69834930208
89676,50010.42805291047
89677,50062.31880676302
89678,123864.83349739293
89679,133103.68537417363
89680,45398.423066889816
89681,114379.02620063703
89682,49261.42384548205
89683,126530.20982198232
89684,91623.57076039075
89685,118674.8601685294
89686,53067.594452215635
89687,50194.66501016649
89688,116072.60111373216
89689,52230.20084589123
89690,113153.59831565137
89691,53711.08533364031
89692,112990.67123395328
89693,143696.8152996814
89694,112650.44147774538
89695,121331.50861511305
89696,110994.40447572702
89697,63973.7080071823
89698,124743.28700324707
89699,47810.80242903638
89700,47484.42582481397
89701,88476.69892432692
89702,142864.47130605706
89703,47204.58794859698
89704,143330.0473311918
89705,125295.75478418791
89706,107160.66665813126
89707,52475.09478319193
89708,129358.1339109088
89709,53640.36495937298
89710,110087.12244969966
89711,117250.13086032476
89712,118490.43113490571
89713,105435.46698104439
89714,149564.77766950376
89715,144783.0152204772
89716,43977.00541975119
89717,154890.01492151548
89718,98773.41352637587
89719,119579.52301911211
89720,55445.10611861688
89721,133922.72493859538
89722,45066.52399325006
89723,86673.67304995055
89724,90297.7482642941
89725,122419.71999088959
89726,49450.664251237744
89727,46723.95775082892
89728,55757.51663996689
89729,157785.4117902489
89730,94553.93502933599
89731,137586.19379650615
89732,50107.84268518634
89733,133403.87733296238
89734,116275.47616019697
89735,132772.57680422845
89736,90697.41905956175
89737,132335.16076384488
89738,46076.720608719734
89739,47522.58999611047
89740,122934.44581027023
89741,108637.4709154372
89742,125357.32417864031
89743,109348.32571599838
89744,45846.79935588802
89745,122280.30504253459
89746,48307.036157778915
89747,121918.02530945098
89748,113774.88877228156
89749,61838.08623961489
89750,116837.10376768875
89751,109540.32503313253
89752,44160.75555032016
89753,123204.14353513367
89754,124955.05779165919
89755,125122.43292952873
89756,46082.77072221983
89757,143557.4749450988
89758,119546.72747964603
89759,121433.73088419768
89760,52534.03193587656
89761,127531.86240104037
89762,121236.80969094789
89763,110543.53116725427
89764,97501.44104547135
89765,123130.70429189765
89766,136865.33699600867
89767,144349.3835276962
89768,95449.76207934169
89769,112523.08368517338
89770,67282.2665285781
89771,120340.24197535128
89772,109836.7923193858
89773,110305.9812612826
89774,139655.3716334812
89775,126598.92193570892
89776,123697.48169670366
89777,101596.36273973332
89778,185789.92762861983
89779,46604.73647615716
89780,54705.36823837392
89781,109809.35673891396
89782,96946.51605048578
89783,139171.71551427603
89784,83414.11967678361
89785,107988.47774144895
89786,121822.74657956079
89787,110676.66228226743
89788,148683.24126598635
89789,55134.224077072715
89790,121114.42356236976
89791,52398.40972605863
89792,110791.87869534756
89793,157775.26629296495
89794,153368.97503097815
89795,105280.08073297414
89796,50017.707645867384
89797,118966.5385860855
89798,45960.67217963066
89799,50785.66123088554
89800,117974.61857368643
89801,100398.42185320667
89802,143126.45576512002
89803,131367.79353888816
89804,121248.21577143394
89805,111689.71569902227
89806,131022.38101913015
89807,105023.78692953003
89808,46497.554576408125
89809,130426.21848874255
89810,108904.42089147332
89811,90533.58013686385
89812,49480.653638071395
89813,48699.95202321914
89814,49430.16760531975
89815,72581.45424828462
89816,148874.58800297644
89817,127831.9777111768
89818,51764.77653375615
89819,115995.19407780707
89820,50036.546861323666
89821,48176.79030286636
89822,49896.55683378051
89823,45180.65369880179
89824,122034.9382037192
89825,50631.31179368401
89826,120996.91412357682
89827,114535.39668639816
89828,131796.49577250422
89829,109015.5731504938
89830,49060.387786128274
89831,133189.08108132615
89832,104811.54318102325
89833,55300.195934003816
89834,112101.9630920554
89835,50532.495268695435
89836,111222.95032994766
89837,99025.96880950475
89838,47460.59577893537
89839,116698.82453069919
89840,128504.32380317117
89841,45657.334493894814
89842,60054.70857657665
89843,131426.3375243215
89844,46903.840249666944
89845,47802.44285306194
89846,116517.57524161469
89847,89103.65165803324
89848,44953.61601104694
89849,52541.754509615756
89850,50731.55984100294
89851,130105.92989956509
89852,119971.33346782869
89853,146732.19060346115
89854,126314.53293651689
89855,116347.33363258885
89856,148124.43361399317
89857,49085.800068412915
89858,102368.71010621384
89859,92671.81670344218
89860,48742.24564938751
89861,149797.9139595731
89862,117881.5341629697
89863,109174.67476119158
89864,86164.09163117471
89865,46399.435760139226
89866,147728.5948129608
89867,148475.3232815699
89868,50076.13686906874
89869,99523.39625366092
89870,184318.39071246437
89871,58566.689888591136
89872,109764.60785654973
89873,166720.957671537
89874,89573.7684256908
89875,104600.07448259769
89876,122388.02199477816
89877,64471.28110754873
89878,50586.57133019431
89879,45846.79935588802
89880,46608.35210473284
89881,135177.89096455785
89882,147544.58203526377
89883,104644.90877122141
89884,115313.9935735466
89885,114535.39668639816
89886,98251.4308146482
89887,126365.09655389702
89888,133987.12745192047
89889,161302.45909755668
89890,90867.66073582518
89891,127057.04563731262
89892,49062.40687553122
89893,108800.31636692674
89894,47021.14493697472
89895,54822.90288302266
89896,113667.42263287483
89897,114512.73256390715
89898,53960.9209233886
89899,134103.98685241936
89900,84589.81231135053
89901,103447.32388865232
89902,128242.09426660204
89903,127772.98997706642
89904,83864.92208891372
89905,57907.42824294544
89906,138420.37611796567
89907,96663.58950429216
89908,47704.40981304963
89909,122811.08241739337
89910,128855.75833527178
89911,103019.45246093126
89912,100306.78147466155
89913,59181.27178370778
89914,106130.45821781241
89915,128672.94847358487
89916,119983.91013498322
89917,144623.8775441897
89918,119850.38844575021
89919,132062.61171104037
89920,50164.429315221765
89921,125151.30652019373
89922,116295.98279550057
89923,147888.40052102954
89924,122628.82226407048
89925,43978.659662462516
89926,51911.47748004718
89927,96167.53959358233
89928,143448.5067642309
89929,136159.62703360769
89930,118509.45362376433
89931,156353.16718769446
89932,128206.85938571225
89933,49793.845729313056
89934,119335.85004779293
89935,133150.2448012177
89936,53040.04538994627
89937,115810.04348425643
89938,116775.35243199949
89939,133325.66037705887
89940,48295.65215331459
89941,138758.11435793858
89942,98501.78041355665
89943,160502.10805527848
89944,124523.33752608264
89945,113124.41184867194
89946,88491.21246350155
89947,125039.71763378385
89948,96974.73499120475
89949,122701.08021793528
89950,97888.96028695977
89951,55563.149690497106
89952,120333.744658241
89953,126598.92193570892
89954,97232.53708411651
89955,96663.58950429216
89956,122071.4503156328
89957,54386.23352580468
89958,103159.25636527235
89959,91468.8212482264
89960,154872.52487626896
89961,48577.57300666739
89962,110054.18940561856
89963,50308.6724842162
89964,95486.7820529527
89965,114535.39668639816
89966,102442.08823033005
89967,105844.58601906625
89968,124715.44238604144
89969,125721.17403811328
89970,159255.99398124157
89971,50645.702600751014
89972,112536.52084388785
89973,51629.45046853743
89974,124954.64864206922
89975,145417.75740009698
89976,48454.61628475094
89977,97968.63542102535
89978,136757.23554357348
89979,102603.02549225965
89980,135047.5759247904
89981,50879.27024866072
